SA2_code,y.all.male,sd.all.male,y.all.female,sd.all.female,y.all.persons,sd.all.persons
11001,1.1,0.0739795918367347,1.12,0.07908163265306124,1.13,0.061224489795918366
11002,1.09,0.06377551020408163,1.02,0.051020408163265266,1.08,0.05102040816326529
11003,1.01,0.12755102040816327,0.99,0.11479591836734693,1,0.09438775510204081
11004,0.95,0.058673469387755126,0.97,0.05102040816326532,0.95,0.05102040816326532
11005,1.14,0.10459183673469391,0.96,0.09948979591836732,1.08,0.07908163265306122
11006,1.05,0.06887755102040814,1,0.06122448979591834,1.02,0.05867346938775507
11007,1.12,0.09948979591836737,1.06,0.07653061224489795,1.14,0.07908163265306124
11008,1.05,0.10204081632653061,1.06,0.08928571428571429,1.12,0.08673469387755105
11009,1.09,0.08418367346938778,0.95,0.0688775510204082,1.05,0.07142857142857141
11010,1.01,0.08928571428571429,0.95,0.07142857142857147,0.99,0.07653061224489795
11011,0.96,0.058673469387755126,0.96,0.05102040816326532,0.95,0.05102040816326532
11012,0.98,0.08928571428571429,0.95,0.07397959183673473,0.97,0.07142857142857147
11013,1.07,0.09948979591836735,1.09,0.09438775510204081,1.1,0.08928571428571432
11014,1.09,0.12244897959183676,1.02,0.11224489795918369,1.06,0.09183673469387756
11015,1.02,0.07653061224489795,1,0.058673469387755126,1,0.0637755102040816
11016,1.02,0.10459183673469388,1.01,0.08673469387755102,1,0.08673469387755102
11017,1.08,0.09183673469387756,1.02,0.08673469387755102,1.05,0.07142857142857141
11018,1.05,0.08928571428571429,1.08,0.09438775510204081,1.07,0.06887755102040817
11019,1.27,0.11479591836734693,1.2,0.11479591836734693,1.3,0.09438775510204078
11020,1.15,0.08418367346938778,1.14,0.07908163265306124,1.18,0.07142857142857144
11021,1.2,0.1326530612244898,1.07,0.10204081632653061,1.19,0.10204081632653059
11022,1.09,0.11224489795918369,1.06,0.08418367346938775,1.1,0.09438775510204081
11023,1.3,0.14540816326530615,1.16,0.13520408163265307,1.33,0.125
11024,1.06,0.08163265306122448,1.04,0.06632653061224487,1.05,0.06632653061224487
11025,1.06,0.08163265306122448,1.08,0.08673469387755102,1.05,0.0637755102040816
11026,1.04,0.08163265306122448,1.02,0.09438775510204081,1.03,0.07142857142857141
11027,1.15,0.08673469387755105,1.05,0.08163265306122448,1.12,0.0663265306122449
11028,0.88,0.08673469387755105,0.92,0.08928571428571432,0.85,0.06887755102040817
11029,0.97,0.08163265306122448,1.02,0.07653061224489795,0.99,0.06377551020408166
11030,1.04,0.06632653061224487,0.99,0.05357142857142859,1.01,0.05612244897959186
11031,1,0.0637755102040816,1.02,0.0561224489795918,1.02,0.04846938775510205
11032,1.2,0.07653061224489797,1.02,0.05867346938775507,1.14,0.05612244897959183
11033,1.04,0.10459183673469388,1.01,0.08673469387755102,1.01,0.08673469387755102
11034,1.08,0.07653061224489795,0.99,0.07142857142857141,1.07,0.0663265306122449
11035,1.04,0.09693877551020408,1,0.07653061224489795,1.02,0.07653061224489795
11036,1.06,0.08673469387755102,1,0.07142857142857141,1.03,0.06887755102040814
11037,1.25,0.11479591836734693,1,0.08673469387755102,1.14,0.08163265306122451
11038,1.05,0.10204081632653061,0.97,0.09693877551020405,1.01,0.07908163265306122
11039,0.93,0.0739795918367347,0.93,0.0739795918367347,0.91,0.06377551020408163
11040,1.14,0.061224489795918366,1.05,0.0586734693877551,1.11,0.048469387755102025
11041,1.06,0.08928571428571429,1.01,0.07653061224489795,1.02,0.07397959183673468
11042,1.11,0.06887755102040817,1.09,0.06887755102040817,1.14,0.05357142857142856
11043,1.17,0.09183673469387758,1.02,0.07397959183673468,1.13,0.0663265306122449
11044,1.21,0.0739795918367347,1.1,0.06377551020408163,1.18,0.0586734693877551
11045,1.05,0.07908163265306122,1,0.06632653061224487,1.03,0.06632653061224487
11046,1.11,0.08418367346938778,0.97,0.0688775510204082,1.04,0.06122448979591834
11047,1.03,0.07142857142857141,1.1,0.07142857142857144,1.09,0.0586734693877551
11048,1.21,0.07142857142857144,0.96,0.061224489795918394,1.1,0.05102040816326529
11049,1.04,0.08163265306122448,0.98,0.061224489795918394,0.98,0.07142857142857147
11050,1.11,0.07653061224489797,0.98,0.06377551020408166,1.04,0.05612244897959183
11051,1.1,0.10204081632653061,0.98,0.08163265306122448,1.02,0.07908163265306122
11052,1.14,0.1377551020408163,1.04,0.1173469387755102,1.11,0.09948979591836735
11053,1.2,0.08673469387755099,1.04,0.07142857142857141,1.12,0.061224489795918366
11054,1.11,0.07908163265306124,1.17,0.09183673469387758,1.18,0.07142857142857144
11055,1.11,0.10969387755102042,1.02,0.08418367346938775,1.06,0.08673469387755102
11056,0.89,0.0739795918367347,0.97,0.07397959183673473,0.88,0.0586734693877551
11057,1.17,0.09948979591836737,1.04,0.08418367346938775,1.14,0.07908163265306124
11058,1.02,0.07908163265306122,1.08,0.08418367346938775,1.06,0.061224489795918366
11059,0.98,0.10204081632653059,1.03,0.10204081632653061,0.99,0.08163265306122448
11060,1.08,0.07653061224489797,1.07,0.0586734693877551,1.08,0.06377551020408163
11061,1.02,0.08928571428571429,1.04,0.07397959183673468,1.03,0.07653061224489795
11062,1.09,0.0739795918367347,1.13,0.0739795918367347,1.13,0.07142857142857144
11063,1.18,0.10204081632653059,1.12,0.10204081632653061,1.17,0.07908163265306124
11064,1.24,0.08673469387755099,1.1,0.06887755102040817,1.23,0.07653061224489792
11065,1.12,0.07908163265306124,1.19,0.0739795918367347,1.21,0.06887755102040817
11066,1.17,0.10204081632653064,1.07,0.09183673469387756,1.13,0.08673469387755105
