SA2_code,y.brain.male,sd.brain.male,y.brain.female,sd.brain.female,y.brain.persons,sd.brain.persons
11001,0.72,0.16071428571428575,1,0.2040816326530612,0.73,0.15561224489795922
11002,0.98,0.10969387755102039,0.96,0.08163265306122446,0.92,0.11479591836734693
11003,1.01,0.30357142857142855,0.98,0.2525510204081633,1.11,0.30357142857142855
11004,0.98,0.10969387755102039,0.97,0.08418367346938775,0.96,0.11224489795918366
11005,1.21,0.3086734693877551,1.12,0.30357142857142855,1.1,0.2653061224489796
11006,1.03,0.1607142857142857,1,0.10969387755102039,0.99,0.14285714285714288
11007,1,0.1479591836734694,0.95,0.11479591836734693,0.97,0.16581632653061226
11008,0.99,0.19132653061224486,0.97,0.14540816326530615,0.97,0.17602040816326534
11009,1.09,0.2066326530612245,0.91,0.12244897959183673,0.95,0.163265306122449
11010,1.02,0.17346938775510204,0.94,0.125,0.96,0.1734693877551021
11011,1.01,0.11224489795918366,0.95,0.08928571428571426,0.95,0.10714285714285712
11012,1.1,0.2142857142857143,0.95,0.13010204081632654,1.01,0.19387755102040816
11013,1.03,0.19387755102040816,0.96,0.1326530612244898,0.99,0.1913265306122449
11014,0.92,0.23979591836734693,0.94,0.24234693877551022,0.86,0.25510204081632654
11015,0.96,0.13520408163265307,0.93,0.09693877551020405,0.86,0.11734693877551017
11016,1.01,0.17346938775510204,0.94,0.12755102040816327,0.95,0.21683673469387754
11017,0.91,0.2270408163265306,0.95,0.22704081632653061,0.9,0.22193877551020408
11018,0.83,0.17091836734693877,0.93,0.21683673469387754,0.85,0.15816326530612246
11019,1.17,0.3239795918367347,0.98,0.22448979591836735,1.13,0.2908163265306123
11020,1.08,0.19387755102040816,0.97,0.1326530612244898,1.04,0.1683673469387755
11021,0.89,0.18367346938775514,0.96,0.19897959183673466,0.93,0.16581632653061226
11022,1.02,0.18112244897959184,0.96,0.125,0.98,0.1734693877551021
11023,1.09,0.2933673469387755,1.03,0.20408163265306123,1.13,0.3469387755102041
11024,0.96,0.1403061224489796,0.97,0.13010204081632654,0.97,0.1479591836734694
11025,1.16,0.22959183673469385,1,0.1913265306122449,1.13,0.2270408163265306
11026,0.76,0.15561224489795922,1,0.22193877551020408,0.83,0.17346938775510204
11027,1.08,0.24744897959183673,0.97,0.17346938775510207,1.03,0.19642857142857142
11028,0.95,0.21428571428571427,0.98,0.18112244897959187,1.05,0.2423469387755102
11029,0.89,0.16071428571428573,0.96,0.1479591836734694,0.92,0.1556122448979592
11030,0.91,0.10459183673469385,0.94,0.08928571428571426,0.9,0.1173469387755102
11031,0.97,0.13775510204081634,0.89,0.11479591836734693,0.91,0.12244897959183673
11032,0.88,0.14285714285714285,0.9,0.12755102040816324,0.81,0.1275510204081633
11033,0.88,0.15306122448979592,0.95,0.15051020408163268,0.9,0.17346938775510207
11034,0.94,0.163265306122449,0.9,0.14795918367346939,0.95,0.163265306122449
11035,0.89,0.15816326530612246,0.92,0.14540816326530612,0.87,0.16836734693877553
11036,0.99,0.18112244897959182,0.93,0.13010204081632654,0.98,0.18112244897959182
11037,0.99,0.17857142857142858,0.98,0.1760204081632653,1.03,0.2270408163265306
11038,1.03,0.23979591836734696,0.75,0.14540816326530615,0.75,0.15816326530612249
11039,0.91,0.17602040816326534,0.92,0.15306122448979592,0.93,0.15816326530612246
11040,0.93,0.1709183673469388,1.01,0.14540816326530615,1.06,0.17857142857142858
11041,0.99,0.17857142857142858,0.95,0.16581632653061226,0.98,0.20153061224489793
11042,0.89,0.16581632653061226,0.97,0.14540816326530615,0.95,0.1403061224489796
11043,0.92,0.15816326530612246,0.94,0.15051020408163268,0.93,0.16836734693877553
