SA2_code,y.colorectal.male,sd.colorectal.male,y.colorectal.female,sd.colorectal.female,y.colorectal.persons,sd.colorectal.persons
11001,1.32,0.19387755102040816,1.15,0.1709183673469388,1.32,0.14540816326530615
11002,1.03,0.08418367346938775,1.04,0.07908163265306122,1.04,0.07653061224489795
11003,1.02,0.2193877551020408,0.99,0.18112244897959184,0.93,0.163265306122449
11004,1.01,0.09183673469387756,0.99,0.06887755102040814,0.99,0.07397959183673468
11005,1.05,0.20918367346938777,0.91,0.15051020408163268,0.96,0.1479591836734694
11006,1.06,0.11224489795918369,0.97,0.09438775510204078,1.02,0.09948979591836735
11007,1.08,0.14285714285714285,1.03,0.10459183673469388,1.07,0.1275510204081633
11008,0.99,0.16581632653061223,1.01,0.13775510204081634,1.02,0.13775510204081634
11009,0.93,0.13520408163265307,1,0.1173469387755102,0.96,0.1173469387755102
11010,1,0.13520408163265307,1.01,0.11479591836734693,1.01,0.11989795918367349
11011,0.98,0.09438775510204078,0.99,0.07908163265306122,0.98,0.08163265306122448
11012,0.92,0.14030612244897958,0.99,0.12244897959183673,0.95,0.11224489795918366
11013,0.98,0.14285714285714288,1.08,0.13520408163265304,1.07,0.1377551020408163
11014,1,0.1658163265306123,1.03,0.20918367346938777,1,0.15561224489795922
11015,1.04,0.11224489795918369,1.02,0.10204081632653061,1.04,0.10204081632653061
11016,1.07,0.16326530612244897,1.06,0.1326530612244898,1.1,0.14285714285714285
11017,1.05,0.19642857142857142,1.04,0.1607142857142857,1.04,0.1530612244897959
11018,0.95,0.1479591836734694,1.08,0.15561224489795916,1.04,0.1479591836734694
11019,0.95,0.15816326530612246,1.19,0.1862244897959184,1.1,0.14285714285714285
11020,1,0.125,1.11,0.13520408163265304,1.09,0.11734693877551022
11021,1.03,0.1836734693877551,1.04,0.15561224489795916,1.08,0.14795918367346936
11022,1.04,0.1403061224489796,1.04,0.11734693877551022,1.05,0.1275510204081633
11023,1.09,0.21938775510204084,1.09,0.20408163265306123,1.17,0.18877551020408168
11024,1.06,0.12500000000000003,1.01,0.09438775510204081,1.03,0.10714285714285715
11025,0.95,0.16071428571428573,1,0.1479591836734694,0.94,0.1173469387755102
11026,1.17,0.2091836734693877,1.01,0.15561224489795922,1.15,0.15816326530612246
11027,1.13,0.16836734693877553,1.01,0.13010204081632654,1.05,0.13265306122448983
11028,0.93,0.16071428571428573,0.93,0.13520408163265307,0.86,0.13265306122448978
11029,0.93,0.125,0.96,0.11479591836734693,0.92,0.09948979591836737
11030,0.93,0.08418367346938778,0.99,0.08418367346938775,0.96,0.08418367346938772
11031,0.98,0.10204081632653059,0.98,0.08928571428571429,0.98,0.08673469387755102
11032,0.96,0.11224489795918366,0.97,0.10459183673469385,0.99,0.10459183673469385
11033,0.88,0.13520408163265304,1.02,0.14285714285714288,0.96,0.12755102040816327
11034,0.98,0.13775510204081634,1.02,0.1173469387755102,1.03,0.11989795918367349
11035,0.92,0.13775510204081634,0.95,0.11989795918367346,0.91,0.11989795918367346
11036,0.95,0.1173469387755102,0.99,0.10969387755102039,0.98,0.11224489795918366
11037,0.94,0.15051020408163265,1.01,0.15561224489795916,0.99,0.13520408163265307
11038,1.11,0.1989795918367347,0.92,0.14795918367346939,0.97,0.13520408163265307
11039,0.87,0.1301020408163265,0.97,0.1173469387755102,0.87,0.10714285714285718
11040,0.91,0.12244897959183673,1.06,0.12244897959183676,1.01,0.10459183673469388
11041,0.98,0.13010204081632654,1.03,0.13775510204081637,1.05,0.13010204081632656
11042,0.86,0.10969387755102042,0.99,0.1173469387755102,0.91,0.09183673469387758
11043,1.04,0.1530612244897959,0.9,0.10459183673469391,0.96,0.11479591836734693
11044,0.96,0.12755102040816327,0.99,0.125,0.95,0.10459183673469385
11045,1.07,0.13265306122448983,1.15,0.1301020408163265,1.14,0.1147959183673469
11046,1.2,0.18112244897959187,1.16,0.16581632653061226,1.27,0.15306122448979595
11047,0.99,0.12755102040816327,1.04,0.11224489795918369,1.04,0.10459183673469388
