Year.x,Cancer_code.x,Cancer_name.x,Sex_code.x,Sex_name.x,SA2_code,SA2_name.x,p025.x,p10.x,y.liver.male,p90.x,p975.x,Prob.x,sd.liver.male,Year.y,Cancer_code.y,Cancer_name.y,Sex_code.y,Sex_name.y,SA2_name.y,p025.y,p10.y,y.liver.female,p90.y,p975.y,Prob.y, sd.liver.female,Year,Cancer_code,Cancer_name,Sex_code,Sex_name,SA2_name,p025,p10,y.liver.persons,p90,p975,Prob,sd.liver.persons
2006-2014,18,Liver,1,Males,11001,Goulburn,0.73,0.86,1.1,1.44,1.66,0.373,0.23724489795918366,2006-2014,18,Liver,2,Females,Goulburn,0.81,0.89,1.11,1.71,2.14,0.401,0.3392857142857143,2006-2014,18,Liver,3,Persons,Goulburn,0.79,0.9,1.16,1.58,1.83,0.547,0.2653061224489796
2006-2014,18,Liver,1,Males,11002,Goulburn Region,0.91,0.97,1.06,1.18,1.27,0.611,0.09183673469387756,2006-2014,18,Liver,2,Females,Goulburn Region,0.82,0.89,1.01,1.15,1.25,0.073,0.10969387755102042,2006-2014,18,Liver,3,Persons,Goulburn Region,0.82,0.89,1.01,1.14,1.22,0.084,0.10204081632653061
2006-2014,18,Liver,1,Males,11003,Yass,0.75,0.88,1.11,1.83,2.23,0.394,0.37755102040816324,2006-2014,18,Liver,2,Females,Yass,0.62,0.73,1.02,1.64,1.97,0.058,0.34438775510204084,2006-2014,18,Liver,3,Persons,Yass,0.61,0.76,1.22,1.88,2.39,0.406,0.4540816326530613
2006-2014,18,Liver,1,Males,11004,Yass Region,0.94,0.99,1.08,1.23,1.33,0.713,0.09948979591836737,2006-2014,18,Liver,2,Females,Yass Region,0.83,0.91,1.01,1.18,1.32,0.146,0.12500000000000003,2006-2014,18,Liver,3,Persons,Yass Region,0.85,0.93,1.08,1.26,1.37,0.498,0.13265306122448983
2006-2014,18,Liver,1,Males,11005,Young,0.78,0.86,1.07,1.34,1.54,0.288,0.19387755102040816,2006-2014,18,Liver,2,Females,Young,0.57,0.74,1.02,1.44,1.94,0.067,0.3494897959183674,2006-2014,18,Liver,3,Persons,Young,0.62,0.71,1.09,1.51,1.88,0.186,0.3214285714285714
2006-2014,18,Liver,1,Males,11006,Young Region,0.9,0.96,1.08,1.24,1.34,0.567,0.11224489795918369,2006-2014,18,Liver,2,Females,Young Region,0.82,0.9,1.02,1.21,1.32,0.174,0.1275510204081633,2006-2014,18,Liver,3,Persons,Young Region,0.81,0.89,1.06,1.26,1.36,0.344,0.1403061224489796
2006-2014,18,Liver,1,Males,11007,Braidwood,0.93,0.99,1.12,1.34,1.5,0.748,0.14540816326530612,2006-2014,18,Liver,2,Females,Braidwood,0.76,0.85,0.99,1.14,1.31,0.076,0.1403061224489796,2006-2014,18,Liver,3,Persons,Braidwood,0.8,0.89,1.1,1.32,1.48,0.445,0.17346938775510204
2006-2014,18,Liver,1,Males,11008,Karabar,0.79,0.88,1.04,1.25,1.42,0.227,0.1607142857142857,2006-2014,18,Liver,2,Females,Karabar,0.67,0.77,0.99,1.18,1.35,0.088,0.17346938775510207,2006-2014,18,Liver,3,Persons,Karabar,0.66,0.78,0.99,1.21,1.34,0.067,0.17346938775510207
2006-2014,18,Liver,1,Males,11009,Queanbeyan,0.79,0.88,1.03,1.26,1.43,0.234,0.16326530612244897,2006-2014,18,Liver,2,Females,Queanbeyan,0.79,0.85,1,1.21,1.37,0.02,0.1479591836734694,2006-2014,18,Liver,3,Persons,Queanbeyan,0.71,0.81,1.01,1.23,1.36,0.062,0.1658163265306123
2006-2014,18,Liver,1,Males,11010,Queanbeyan - East,0.82,0.9,1.04,1.23,1.38,0.273,0.14285714285714285,2006-2014,18,Liver,2,Females,Queanbeyan - East,0.73,0.84,1,1.22,1.39,0.015,0.1683673469387755,2006-2014,18,Liver,3,Persons,Queanbeyan - East,0.7,0.8,1.01,1.24,1.37,0.047,0.17091836734693883
2006-2014,18,Liver,1,Males,11011,Queanbeyan Region,0.91,0.96,1.05,1.18,1.27,0.532,0.09183673469387756,2006-2014,18,Liver,2,Females,Queanbeyan Region,0.8,0.89,1,1.15,1.26,0.047,0.1173469387755102,2006-2014,18,Liver,3,Persons,Queanbeyan Region,0.78,0.85,1.01,1.19,1.27,0.077,0.125
2006-2014,18,Liver,1,Males,11012,Queanbeyan West - Jerrabomberra,0.8,0.88,1.02,1.19,1.29,0.164,0.125,2006-2014,18,Liver,2,Females,Queanbeyan West - Jerrabomberra,0.74,0.84,1.01,1.26,1.44,0.068,0.17857142857142858,2006-2014,18,Liver,3,Persons,Queanbeyan West - Jerrabomberra,0.68,0.76,0.99,1.23,1.35,0.055,0.1709183673469388
2006-2014,18,Liver,1,Males,11013,Bombala,0.96,1.03,1.2,1.53,1.78,0.877,0.20918367346938777,2006-2014,18,Liver,2,Females,Bombala,0.72,0.83,1.01,1.22,1.42,0.056,0.17857142857142858,2006-2014,18,Liver,3,Persons,Bombala,0.97,1.07,1.34,1.74,2.11,0.917,0.29081632653061223
2006-2014,18,Liver,1,Males,11014,Cooma,0.74,0.84,1.08,1.36,1.57,0.306,0.21173469387755103,2006-2014,18,Liver,2,Females,Cooma,0.65,0.74,0.99,1.41,1.61,0.03,0.2448979591836735,2006-2014,18,Liver,3,Persons,Cooma,0.66,0.81,1.18,1.65,1.98,0.428,0.336734693877551
2006-2014,18,Liver,1,Males,11015,Cooma Region,0.95,1,1.13,1.33,1.47,0.814,0.1326530612244898,2006-2014,18,Liver,2,Females,Cooma Region,0.78,0.87,1.01,1.19,1.35,0.104,0.14540816326530615,2006-2014,18,Liver,3,Persons,Cooma Region,0.89,0.98,1.17,1.42,1.59,0.74,0.1785714285714286
2006-2014,18,Liver,1,Males,11016,Jindabyne - Berridale,0.91,0.99,1.16,1.45,1.67,0.766,0.19387755102040813,2006-2014,18,Liver,2,Females,Jindabyne - Berridale,0.71,0.83,1.01,1.25,1.5,0.076,0.20153061224489796,2006-2014,18,Liver,3,Persons,Jindabyne - Berridale,0.87,0.99,1.25,1.61,1.87,0.783,0.25510204081632654
2006-2014,18,Liver,1,Males,11017,Batemans Bay,0.79,0.9,1.15,1.71,2.21,0.503,0.3622448979591837,2006-2014,18,Liver,2,Females,Batemans Bay,0.76,0.85,1.02,1.28,1.53,0.099,0.19642857142857142,2006-2014,18,Liver,3,Persons,Batemans Bay,0.61,0.72,1.04,1.4,1.68,0.137,0.27295918367346933
2006-2014,18,Liver,1,Males,11018,Batemans Bay - South,0.76,0.89,1.13,1.59,1.92,0.526,0.29591836734693877,2006-2014,18,Liver,2,Females,Batemans Bay - South,0.67,0.78,0.97,1.15,1.29,0.155,0.15816326530612246,2006-2014,18,Liver,3,Persons,Batemans Bay - South,0.68,0.76,0.97,1.26,1.44,0.145,0.19387755102040813
2006-2014,18,Liver,1,Males,11019,Bega - Tathra,0.93,1.06,1.36,2.28,2.76,0.889,0.4668367346938775,2006-2014,18,Liver,2,Females,Bega - Tathra,0.63,0.77,1.01,1.33,1.68,0.055,0.2678571428571428,2006-2014,18,Liver,3,Persons,Bega - Tathra,0.95,1.09,1.58,2.29,2.85,0.916,0.48469387755102045
2006-2014,18,Liver,1,Males,11020,Bega-Eden Hinterland,0.99,1.06,1.3,1.79,2.06,0.937,0.2729591836734694,2006-2014,18,Liver,2,Females,Bega-Eden Hinterland,0.75,0.86,1.01,1.18,1.39,0.073,0.16326530612244897,2006-2014,18,Liver,3,Persons,Bega-Eden Hinterland,1.03,1.15,1.46,1.89,2.16,0.965,0.288265306122449
