SA2_code,y.lung.male,sd.lung.male,y.lung.female,sd.lung.female,y.lung.persons,sd.lung.persons
11001,1.12,0.11989795918367344,0.93,0.11224489795918366,1.03,0.08928571428571429
11002,1.06,0.0663265306122449,1.03,0.07397959183673468,1.06,0.05612244897959183
11003,0.97,0.1403061224489796,0.9,0.163265306122449,0.93,0.12755102040816327
11004,1,0.058673469387755126,0.97,0.06632653061224493,0.97,0.05102040816326532
11005,1.26,0.2040816326530612,0.94,0.14540816326530612,1.1,0.1275510204081633
11006,1.04,0.07653061224489795,0.97,0.08418367346938775,0.99,0.0637755102040816
11007,1.04,0.08673469387755102,1.02,0.09693877551020408,1.04,0.07397959183673468
11008,1,0.10204081632653061,1,0.1173469387755102,0.98,0.08928571428571429
11009,0.99,0.08928571428571429,0.97,0.10714285714285712,0.97,0.07397959183673473
11010,0.98,0.08673469387755102,0.99,0.10714285714285712,0.97,0.07397959183673473
11011,1.01,0.06632653061224487,0.99,0.07142857142857141,1,0.05357142857142859
11012,1.01,0.10204081632653061,0.97,0.10204081632653059,0.98,0.08418367346938775
11013,1.01,0.09183673469387756,1.09,0.11989795918367349,1.05,0.09438775510204081
11014,0.92,0.14795918367346939,1.06,0.1836734693877551,0.99,0.1326530612244898
11015,1,0.07653061224489795,1.02,0.08418367346938775,1.01,0.06632653061224487
11016,1.03,0.10459183673469388,1.04,0.11479591836734696,1.04,0.09693877551020408
11017,0.97,0.1173469387755102,1.01,0.12755102040816327,0.99,0.09183673469387756
11018,1.01,0.11224489795918369,1.04,0.11479591836734696,1.02,0.08673469387755102
11019,1.04,0.13520408163265307,1.22,0.17346938775510207,1.13,0.10459183673469391
11020,1.08,0.09693877551020408,1.1,0.10969387755102042,1.11,0.07908163265306124
11021,1.02,0.13775510204081634,1.01,0.13010204081632654,1.01,0.10714285714285715
11022,1.02,0.09438775510204081,1.05,0.10204081632653061,1.04,0.07908163265306122
11023,1.06,0.14030612244897964,1.06,0.17091836734693877,1.07,0.11989795918367349
11024,1,0.08418367346938775,1.03,0.08673469387755102,1.01,0.06887755102040814
11025,1.02,0.10459183673469388,1.1,0.14540816326530612,1.07,0.08673469387755102
11026,0.95,0.11479591836734693,0.95,0.125,0.92,0.08418367346938778
11027,1.01,0.10459183673469388,1.05,0.12244897959183676,1.02,0.08163265306122448
11028,0.97,0.10969387755102039,0.97,0.12244897959183673,0.95,0.09693877551020405
11029,1.01,0.09693877551020408,1.02,0.10459183673469388,1,0.08163265306122448
11030,1.08,0.0739795918367347,1,0.06632653061224487,1.04,0.05612244897959183
11031,1.05,0.08418367346938775,1.08,0.08418367346938775,1.07,0.061224489795918366
11032,1.22,0.1173469387755102,1.08,0.09948979591836735,1.17,0.07653061224489797
11033,1.11,0.11479591836734696,1.01,0.10459183673469388,1.06,0.08928571428571429
11034,1.03,0.08928571428571429,1.05,0.11224489795918369,1.04,0.08163265306122448
11035,1.07,0.10969387755102042,1.11,0.11734693877551022,1.09,0.08928571428571429
11036,1.03,0.08928571428571429,1.04,0.09693877551020408,1.03,0.07397959183673468
11037,1.16,0.1301020408163265,0.95,0.10969387755102039,1.05,0.09948979591836735
11038,0.95,0.11224489795918366,1.21,0.16581632653061226,1.04,0.10459183673469388
11039,1.09,0.11734693877551022,0.96,0.10459183673469385,1.03,0.08928571428571429
11040,1.19,0.10204081632653059,1,0.09438775510204081,1.09,0.07908163265306124
11041,1.18,0.1173469387755102,1.03,0.10969387755102042,1.11,0.09438775510204081
11042,1.14,0.0969387755102041,1.03,0.09438775510204081,1.09,0.07142857142857144
11043,1.05,0.10969387755102042,1.17,0.11989795918367346,1.11,0.08673469387755105
11044,1.32,0.12244897959183673,1.07,0.10714285714285715,1.21,0.08928571428571426
11045,1.06,0.08673469387755102,0.92,0.08673469387755105,0.99,0.07397959183673468
11046,1.07,0.09948979591836735,0.94,0.10204081632653059,1.01,0.07653061224489795
11047,1.09,0.08673469387755102,1.02,0.09948979591836735,1.06,0.07653061224489795
11048,1.04,0.09183673469387756,0.9,0.08928571428571432,0.97,0.06632653061224493
11049,1.05,0.08163265306122448,0.96,0.08673469387755099,1,0.06887755102040814
11050,1.12,0.09438775510204085,0.97,0.08928571428571426,1.05,0.07653061224489795
11051,1.05,0.10714285714285715,1,0.09948979591836732,1.01,0.07908163265306122
11052,1.01,0.15051020408163268,0.9,0.1377551020408163,0.94,0.11479591836734693
11053,1.26,0.1326530612244898,1.19,0.14540816326530612,1.27,0.10969387755102039
11054,1.19,0.12755102040816327,1.11,0.1377551020408163,1.18,0.10459183673469385
11055,1.07,0.11479591836734696,0.96,0.11224489795918366,1.01,0.08673469387755102
