Year.x,Cancer_code.x,Cancer_name.x,Sex_code.x,Sex_name.x,SA2_code,SA2_name.x,p025.x,p10.x,y.melanoma.male,p90.x,p975.x,Prob.x,sd.melanoma.male,Year.y,Cancer_code.y,Cancer_name.y,Sex_code.y,Sex_name.y,SA2_name.y,p025.y,p10.y,y.melanoma.female,p90.y,p975.y,Prob.y,sd.melanoma.female,Year,Cancer_code,Cancer_name,Sex_code,Sex_name,SA2_name,p025,p10,y.melanoma.persons,p90,p975,Prob, sd.melanoma.persons
2006-2014,27,Melanoma,1,Males,11001,Goulburn,0.89,1.01,1.36,2.08,2.78,0.822,0.4821428571428571,2006-2014,27,Melanoma,2,Females,Goulburn,0.83,0.91,1.04,1.26,1.56,0.299,0.1862244897959184,2006-2014,27,Melanoma,3,Persons,Goulburn,0.93,1.09,1.45,1.88,2.14,0.901,0.3086734693877551
2006-2014,27,Melanoma,1,Males,11002,Goulburn Region,0.87,0.92,1.03,1.16,1.25,0.269,0.09693877551020408,2006-2014,27,Melanoma,2,Females,Goulburn Region,0.92,0.96,1.01,1.08,1.12,0.217,0.05102040816326532,2006-2014,27,Melanoma,3,Persons,Goulburn Region,0.92,0.97,1.07,1.19,1.27,0.617,0.08928571428571429
2006-2014,27,Melanoma,1,Males,11003,Yass,0.61,0.78,1.05,1.37,1.53,0.178,0.23469387755102042,2006-2014,27,Melanoma,2,Females,Yass,0.82,0.89,1.02,1.18,1.28,0.116,0.11734693877551022,2006-2014,27,Melanoma,3,Persons,Yass,0.75,0.85,1.08,1.39,1.63,0.309,0.22448979591836732
2006-2014,27,Melanoma,1,Males,11004,Yass Region,0.83,0.89,1,1.12,1.19,0.015,0.09183673469387756,2006-2014,27,Melanoma,2,Females,Yass Region,0.92,0.95,1.01,1.07,1.12,0.184,0.05102040816326532,2006-2014,27,Melanoma,3,Persons,Yass Region,0.91,0.96,1.06,1.17,1.23,0.547,0.08163265306122448
2006-2014,27,Melanoma,1,Males,11005,Young,0.59,0.71,0.99,1.36,1.58,0.021,0.2525510204081633,2006-2014,27,Melanoma,2,Females,Young,0.79,0.85,1.01,1.19,1.35,0.034,0.14285714285714288,2006-2014,27,Melanoma,3,Persons,Young,0.69,0.79,0.99,1.27,1.47,0.04,0.1989795918367347
2006-2014,27,Melanoma,1,Males,11006,Young Region,0.82,0.88,1.02,1.2,1.31,0.113,0.12500000000000003,2006-2014,27,Melanoma,2,Females,Young Region,0.88,0.93,1.01,1.09,1.14,0.095,0.06632653061224487,2006-2014,27,Melanoma,3,Persons,Young Region,0.87,0.93,1.06,1.19,1.28,0.426,0.10459183673469388
2006-2014,27,Melanoma,1,Males,11007,Braidwood,0.79,0.87,1,1.15,1.27,0.011,0.12244897959183673,2006-2014,27,Melanoma,2,Females,Braidwood,0.89,0.94,1.01,1.1,1.16,0.178,0.06887755102040814,2006-2014,27,Melanoma,3,Persons,Braidwood,0.82,0.9,1.04,1.22,1.33,0.335,0.13010204081632656
2006-2014,27,Melanoma,1,Males,11008,Karabar,0.68,0.79,0.99,1.19,1.33,0.053,0.16581632653061226,2006-2014,27,Melanoma,2,Females,Karabar,0.85,0.91,1.01,1.11,1.17,0.079,0.08163265306122448,2006-2014,27,Melanoma,3,Persons,Karabar,0.73,0.86,1.04,1.26,1.39,0.206,0.1683673469387755
2006-2014,27,Melanoma,1,Males,11009,Queanbeyan,0.7,0.78,0.97,1.17,1.32,0.154,0.15816326530612249,2006-2014,27,Melanoma,2,Females,Queanbeyan,0.89,0.93,1.01,1.1,1.15,0.106,0.06632653061224487,2006-2014,27,Melanoma,3,Persons,Queanbeyan,0.77,0.86,1.02,1.19,1.3,0.122,0.13520408163265307
2006-2014,27,Melanoma,1,Males,11010,Queanbeyan - East,0.71,0.81,0.99,1.14,1.24,0.104,0.13520408163265307,2006-2014,27,Melanoma,2,Females,Queanbeyan - East,0.89,0.93,1.01,1.1,1.16,0.127,0.06887755102040814,2006-2014,27,Melanoma,3,Persons,Queanbeyan - East,0.76,0.87,1.03,1.19,1.28,0.169,0.1326530612244898
