SA2_code,y.myeloma.male,sd.myeloma.male,y.myeloma.female,sd.myeloma.female,y.myeloma.persons,sd.myeloma.persons
11001,1.01,0.1479591836734694,0.98,0.15561224489795922,0.99,0.14285714285714288
11002,1,0.0637755102040816,1,0.07142857142857141,0.99,0.05357142857142859
11003,0.97,0.15051020408163265,0.99,0.16071428571428575,0.93,0.13520408163265304
11004,1,0.05867346938775507,1,0.06887755102040814,0.98,0.05357142857142859
11005,1.02,0.1658163265306123,1,0.15561224489795922,1,0.1479591836734694
11006,1,0.07653061224489795,1.01,0.08928571428571429,1,0.06887755102040814
11007,1,0.08163265306122448,1,0.09438775510204081,0.98,0.07653061224489795
11008,0.99,0.10459183673469385,1,0.11989795918367346,0.96,0.09438775510204078
11009,1,0.08928571428571429,1.01,0.11479591836734696,0.97,0.08928571428571426
11010,0.99,0.09948979591836732,1,0.10459183673469388,0.96,0.08673469387755105
11011,1,0.06632653061224487,1,0.07142857142857141,0.97,0.058673469387755126
11012,0.99,0.09438775510204078,1,0.10714285714285715,0.96,0.09183673469387758
11013,1,0.08673469387755102,1.01,0.11224489795918369,0.99,0.08418367346938775
11014,1.05,0.19387755102040816,0.98,0.163265306122449,0.99,0.1403061224489796
11015,1,0.06887755102040814,1,0.08163265306122448,0.99,0.061224489795918394
11016,0.99,0.08928571428571429,1.01,0.11734693877551022,0.99,0.08928571428571429
11017,1.01,0.13775510204081634,0.97,0.13520408163265307,0.98,0.125
11018,1,0.11989795918367346,0.99,0.125,0.98,0.125
11019,0.99,0.125,1.02,0.17091836734693877,1,0.13775510204081634
11020,1,0.09438775510204081,1.02,0.10969387755102042,1,0.08928571428571429
11021,0.98,0.11224489795918366,0.99,0.13010204081632654,0.97,0.10714285714285712
11022,1,0.08673469387755102,1.01,0.10459183673469388,0.98,0.08163265306122448
11023,0.99,0.14540816326530615,1.03,0.19387755102040816,0.99,0.13010204081632654
11024,0.99,0.08163265306122448,1,0.08928571428571429,0.97,0.08163265306122446
11025,1.01,0.12755102040816327,1.02,0.1683673469387755,1.01,0.1326530612244898
11026,0.98,0.14540816326530612,0.98,0.14540816326530615,0.93,0.12244897959183673
11027,0.99,0.12755102040816327,1.02,0.1607142857142857,0.97,0.10714285714285712
11028,1.01,0.13010204081632654,1.02,0.1403061224489796,1.06,0.11989795918367349
11029,1.04,0.10714285714285715,1.02,0.12244897959183676,1.06,0.09693877551020408
11030,1.02,0.0637755102040816,1.02,0.07908163265306122,1.05,0.06887755102040817
11031,1.03,0.08163265306122448,1.03,0.10459183673469388,1.06,0.08418367346938775
11032,1.04,0.09438775510204081,1.04,0.11224489795918369,1.07,0.10204081632653061
11033,1.02,0.10459183673469388,1.03,0.13265306122448978,1.07,0.12499999999999997
11034,1.02,0.10204081632653061,1.02,0.11479591836734696,1.05,0.09693877551020408
11035,1.04,0.10204081632653061,1.03,0.1275510204081633,1.07,0.10714285714285715
11036,1.03,0.09183673469387756,1.02,0.10204081632653061,1.05,0.09183673469387756
11037,1.04,0.13010204081632656,1.04,0.13775510204081637,1.08,0.14285714285714285
11038,1.05,0.15561224489795916,1.03,0.17857142857142858,1.07,0.13775510204081637
11039,1.02,0.11224489795918369,1.04,0.1377551020408163,1.06,0.10204081632653061
11040,1.04,0.12244897959183676,1.03,0.12500000000000003,1.07,0.10969387755102042
11041,1.02,0.10204081632653061,1.01,0.11989795918367349,1.04,0.10969387755102042
11042,1.04,0.09948979591836735,1.03,0.10969387755102042,1.08,0.11734693877551022
