SA2_code,y.ospg.male,sd.ospg.male,y.ospg.female,sd.ospg.female,y.ospg.persons,sd.ospg.persons
11001,0.94,0.2193877551020408,1.09,0.1913265306122449,1.1,0.20918367346938777
11002,1.02,0.09693877551020408,1.04,0.09438775510204081,1.07,0.10714285714285715
11003,1.03,0.3137755102040816,1.04,0.2270408163265306,1.31,0.41581632653061223
11004,0.98,0.11479591836734693,1.02,0.08163265306122448,1.04,0.09948979591836735
11005,1.01,0.3086734693877551,1.05,0.1913265306122449,1.22,0.3316326530612245
11006,0.99,0.1173469387755102,1.02,0.10714285714285715,1.06,0.12244897959183676
11007,0.98,0.1403061224489796,1.05,0.1377551020408163,1.07,0.1760204081632653
11008,1.05,0.18877551020408162,1.02,0.1326530612244898,1.13,0.16836734693877553
11009,1.2,0.19132653061224486,1.01,0.13775510204081634,1.22,0.1709183673469388
11010,1.09,0.1683673469387755,1.01,0.1173469387755102,1.12,0.1709183673469388
11011,1.02,0.11479591836734693,1.01,0.08928571428571429,1.08,0.11989795918367349
11012,1.04,0.1760204081632653,0.99,0.1173469387755102,1.1,0.1556122448979592
11013,0.96,0.17346938775510204,1.03,0.14540816326530615,1.09,0.15306122448979592
11014,1.08,0.3469387755102041,1.09,0.21938775510204084,1.1,0.28571428571428575
11015,1,0.13010204081632654,1.03,0.10969387755102042,1.08,0.14540816326530612
11016,1,0.16071428571428575,1.02,0.15051020408163268,1.11,0.1785714285714286
11017,1.01,0.2372448979591837,1.08,0.20153061224489796,1.13,0.23979591836734693
11018,0.96,0.1887755102040816,1.02,0.17346938775510204,1.07,0.23724489795918371
11019,1.12,0.25510204081632654,1.03,0.23979591836734693,1.18,0.20663265306122447
11020,0.96,0.1479591836734694,1.06,0.163265306122449,1.11,0.1556122448979592
11021,1.04,0.2678571428571428,1.04,0.1607142857142857,1.15,0.288265306122449
11022,0.98,0.15306122448979595,1.05,0.13775510204081637,1.09,0.17091836734693877
11023,1.1,0.3316326530612245,1.1,0.2627551020408163,1.26,0.33928571428571425
11024,0.99,0.14285714285714288,1.05,0.12500000000000003,1.09,0.16071428571428573
11025,1.08,0.21683673469387757,1.07,0.19642857142857142,1.24,0.2448979591836735
