SA2_code,y.pncr.male,sd.pncr.male,y.pncr.female,sd.pncr.female,y.pncr.persons,sd.pncr.persons
11001,1.31,0.2551020408163265,1.03,0.2193877551020408,1.21,0.18367346938775514
11002,1.13,0.14030612244897958,1,0.12755102040816327,1.07,0.09438775510204081
11003,1.01,0.2525510204081633,0.75,0.20918367346938777,0.92,0.22193877551020405
11004,1.02,0.12755102040816327,0.98,0.10714285714285712,0.99,0.07908163265306122
11005,1.52,0.4362244897959184,1.36,0.3698979591836735,1.46,0.28826530612244894
11006,1.1,0.15051020408163265,1.04,0.14285714285714288,1.1,0.11734693877551022
11007,1.03,0.18622448979591838,0.95,0.15816326530612246,1.01,0.11224489795918366
11008,0.97,0.1658163265306123,0.98,0.18112244897959184,0.92,0.13010204081632654
11009,1.07,0.16581632653061223,0.96,0.1658163265306123,0.98,0.1326530612244898
11010,0.98,0.15561224489795922,0.98,0.1760204081632653,0.94,0.10969387755102039
11011,0.94,0.10969387755102039,0.98,0.125,0.95,0.08673469387755099
11012,0.94,0.15306122448979592,0.99,0.18112244897959182,0.94,0.125
11013,1,0.16071428571428575,0.96,0.18367346938775508,0.99,0.11989795918367346
11014,1.29,0.31377551020408156,0.82,0.23214285714285718,0.96,0.18877551020408168
11015,1.04,0.15051020408163268,0.99,0.15306122448979595,1.01,0.10204081632653061
11016,0.92,0.1709183673469388,0.9,0.18112244897959187,0.92,0.11479591836734693
11017,0.87,0.16071428571428573,1.1,0.24489795918367346,0.96,0.14285714285714288
11018,1.04,0.21938775510204084,1.07,0.18877551020408162,1.06,0.15051020408163263
11019,1.1,0.23214285714285712,1.1,0.2780612244897959,1.17,0.2270408163265306
11020,1,0.13520408163265307,0.97,0.16326530612244902,1.04,0.11989795918367346
11021,1.04,0.24234693877551022,1.01,0.18622448979591832,1.08,0.18622448979591838
11022,1.04,0.17857142857142858,0.98,0.17857142857142858,1.04,0.12755102040816327
11023,1.22,0.3010204081632653,0.9,0.201530612244898,1.12,0.1760204081632653
11024,1.04,0.1530612244897959,1.02,0.1760204081632653,1.06,0.11479591836734696
11025,1.04,0.21173469387755103,0.97,0.19387755102040813,1.07,0.15306122448979592
11026,1.07,0.20918367346938777,0.98,0.22448979591836735,1.07,0.16326530612244897
11027,1.2,0.19387755102040818,0.96,0.1785714285714286,1.13,0.16581632653061226
11028,1.16,0.2423469387755102,0.99,0.22448979591836735,1.09,0.1683673469387755
11029,1.22,0.24234693877551022,0.96,0.16836734693877556,1.12,0.14795918367346939
11030,1.04,0.13010204081632654,1.08,0.1352040816326531,1.07,0.08928571428571429
11031,1.15,0.16581632653061226,0.99,0.15306122448979595,1.08,0.10714285714285715
11032,1.05,0.14540816326530615,1.16,0.19132653061224492,1.11,0.11734693877551022
11033,1.04,0.21173469387755103,1.18,0.2857142857142857,1.14,0.16836734693877553
11034,1.21,0.20663265306122447,0.85,0.14285714285714285,1.05,0.1352040816326531
11035,1.06,0.21173469387755103,0.94,0.17602040816326534,0.99,0.12755102040816327
11036,1.14,0.1862244897959184,1,0.17857142857142858,1.08,0.13010204081632656
11037,1.15,0.2423469387755102,1.14,0.2066326530612245,1.16,0.1913265306122449
11038,1.06,0.21938775510204084,0.93,0.23214285714285712,1.04,0.15816326530612243
11039,1.21,0.24744897959183673,0.97,0.15816326530612249,1.07,0.1607142857142857
11040,1.36,0.22448979591836737,1.19,0.23214285714285715,1.28,0.1683673469387755
11041,1.16,0.20918367346938774,1.06,0.1913265306122449,1.11,0.14540816326530612
11042,1.11,0.18622448979591838,1.29,0.22959183673469388,1.24,0.13775510204081634
