SA2_code,y.prostate.male,sd.prostate.male
11001,0.82,0.2270408163265306
11002,0.96,0.09693877551020405
11003,1,0.33673469387755106
11004,0.95,0.10204081632653059
11005,1.17,0.36479591836734687
11006,0.95,0.11479591836734693
11007,1.08,0.17346938775510207
11008,1.02,0.18112244897959184
11009,1.06,0.20153061224489796
11010,1.01,0.1479591836734694
11011,1.01,0.10204081632653061
11012,1.05,0.1683673469387755
11013,1.09,0.18367346938775514
11014,0.98,0.2755102040816327
11015,1.02,0.13265306122448983
11016,1.08,0.19642857142857142
11017,1.41,0.4821428571428572
11018,1.37,0.38775510204081626
11019,1.18,0.2933673469387755
11020,1.18,0.19132653061224492
11021,1.48,0.41836734693877553
11022,1.12,0.1989795918367347
11023,1.32,0.34183673469387754
11024,1.24,0.2372448979591837
11025,1.17,0.2729591836734694
11026,1.47,0.43112244897959184
11027,1.31,0.33163265306122447
11028,1.18,0.2346938775510204
11029,1.23,0.23979591836734696
11030,1.05,0.1275510204081633
11031,1.14,0.16071428571428573
11032,1.12,0.1785714285714286
11033,1.17,0.23214285714285712
11034,1.21,0.20663265306122447
11035,1.13,0.2423469387755102
11036,1.11,0.16836734693877553
11037,1.26,0.29081632653061223
11038,1.33,0.3112244897959183
11039,1.17,0.21938775510204078
11040,1.16,0.20663265306122447
11041,1.13,0.20408163265306123
11042,1.21,0.2270408163265306
11043,1.19,0.25510204081632654
11044,1.07,0.2270408163265306
11045,1.14,0.1862244897959184
11046,1.19,0.24744897959183673
11047,1.08,0.1760204081632653
11048,1.18,0.24744897959183673
11049,1.08,0.15051020408163265
11050,1.21,0.2040816326530612
11051,1.07,0.17091836734693877
11052,1.43,0.4413265306122449
11053,1.24,0.2729591836734694
11054,1.36,0.3392857142857143
11055,1.07,0.2142857142857143
11056,1.07,0.1913265306122449
11057,1.09,0.20918367346938777
11058,0.94,0.21173469387755098
11059,0.96,0.25510204081632654
11060,0.95,0.11989795918367346
11061,0.9,0.12244897959183673
11062,0.96,0.12244897959183673
11063,1.1,0.3826530612244898
11064,0.99,0.13775510204081634
11065,0.95,0.1479591836734694
11066,0.94,0.15051020408163268
11067,0.93,0.23979591836734693
11068,0.94,0.1326530612244898
11069,0.92,0.11989795918367346
11070,0.98,0.25510204081632654
11071,0.95,0.1326530612244898
11072,1.07,0.3061224489795919
11073,0.97,0.16071428571428575
11074,0.98,0.15051020408163268
11076,0.96,0.1887755102040816
11077,0.96,0.21938775510204078
11078,0.86,0.21938775510204078
11079,0.95,0.11989795918367346
11080,1.07,0.31122448979591844
11081,1.03,0.13010204081632656
11082,1.13,0.20153061224489796
11083,0.97,0.14540816326530615
11084,0.95,0.17602040816326534
11085,0.97,0.19387755102040813
11086,0.98,0.1403061224489796
11087,1.02,0.19387755102040816
11088,0.95,0.1709183673469388
11089,0.99,0.18367346938775508
11090,0.92,0.17602040816326534
11091,0.93,0.1785714285714286
11092,1.02,0.1530612244897959
11093,0.95,0.1479591836734694
11094,0.93,0.14540816326530612
11095,0.93,0.13010204081632654
11096,1,0.15816326530612243
11097,0.86,0.23214285714285718
11098,0.99,0.12244897959183673
11099,0.95,0.1326530612244898
11100,0.97,0.22193877551020405
11101,0.98,0.2193877551020408
11102,0.96,0.22193877551020408
11103,0.93,0.13265306122448978
11104,0.94,0.1785714285714286
11105,0.93,0.13010204081632654
11106,0.95,0.18622448979591832
11107,1.02,0.1683673469387755
11108,1.07,0.19642857142857142
11109,1.04,0.12244897959183676
11110,1.01,0.13520408163265307
11111,1.08,0.1760204081632653
11112,1.04,0.25255102040816324
11113,1.02,0.13775510204081634
11114,1.06,0.1836734693877551
11115,1.04,0.18622448979591838
11116,1.05,0.18112244897959184
11117,1.06,0.15816326530612243
11118,1.02,0.1760204081632653
11119,0.98,0.22704081632653061
11120,1.12,0.2423469387755102
11121,0.9,0.2066326530612245
11122,1.02,0.20918367346938777
11123,1.03,0.1683673469387755
11124,0.97,0.21683673469387754
11125,1,0.16581632653061223
11126,1.08,0.25
11127,0.99,0.18622448979591838
11128,1.03,0.3163265306122449
11129,0.99,0.11989795918367346
11130,1.28,0.23469387755102042
11131,1.22,0.23469387755102042
11132,1.13,0.2219387755102041
11133,1.17,0.211734693877551
11134,1.11,0.19387755102040818
11135,0.99,0.1173469387755102
11136,1.09,0.1913265306122449
11137,1.16,0.2525510204081633
11138,1.09,0.27295918367346933
11139,1.09,0.20918367346938777
11140,1.1,0.18622448979591838
11141,1.13,0.21938775510204078
11142,1.16,0.2755102040816327
11143,1.27,0.40306122448979587
11144,1.06,0.1836734693877551
11145,1.03,0.1989795918367347
11146,1.12,0.16071428571428573
11147,0.78,0.1403061224489796
11148,0.98,0.22193877551020408
11149,1.11,0.1989795918367347
11150,0.98,0.19387755102040813
11151,0.94,0.15051020408163268
11152,0.7,0.18112244897959187
11153,0.8,0.14285714285714285
11154,0.68,0.16836734693877556
11155,1.08,0.3239795918367347
11156,0.97,0.15561224489795922
11157,0.97,0.22193877551020408
11158,1,0.23469387755102042
11159,0.97,0.17857142857142855
11160,0.91,0.2831632653061224
11162,0.86,0.14795918367346939
11163,0.88,0.15051020408163265
11164,0.92,0.19132653061224492
11165,0.91,0.13265306122448978
11166,0.94,0.19387755102040818
11167,0.96,0.1403061224489796
11168,0.83,0.16581632653061223
11169,0.9,0.19132653061224492
11170,0.89,0.11224489795918369
11171,0.93,0.24744897959183676
11172,0.99,0.15306122448979595
11173,0.94,0.1785714285714286
11174,0.99,0.1709183673469388
11175,0.95,0.11479591836734693
11176,0.95,0.20918367346938774
11177,0.99,0.15306122448979595
11178,1.1,0.15816326530612246
11179,1.06,0.13265306122448983
11180,1.07,0.2602040816326531
11181,0.95,0.11989795918367346
11182,0.9,0.2576530612244898
11183,0.98,0.11479591836734693
11184,0.89,0.17346938775510207
11185,0.95,0.1326530612244898
11186,1.03,0.24234693877551017
11187,1,0.12244897959183673
11188,1.01,0.15051020408163268
11189,0.96,0.11479591836734693
11190,1.06,0.1836734693877551
11191,1.1,0.2857142857142857
11192,1.02,0.12244897959183673
11193,1,0.16326530612244902
11194,1.07,0.13520408163265304
11195,1.02,0.2653061224489796
11196,1.04,0.16581632653061223
11197,0.92,0.288265306122449
11198,0.95,0.1326530612244898
11199,0.96,0.2857142857142857
11200,0.92,0.1556122448979592
11201,0.94,0.15051020408163265
11202,0.99,0.16581632653061223
11203,1.05,0.1989795918367347
11204,0.99,0.19642857142857142
11205,0.97,0.09693877551020405
11206,1.17,0.21683673469387757
11207,1.2,0.3494897959183673
11208,1.18,0.16581632653061226
11209,1.08,0.163265306122449
11210,1.16,0.20408163265306126
11211,1.12,0.23724489795918366
11212,1.17,0.30357142857142855
11213,1.13,0.23214285714285718
11214,1.09,0.1836734693877551
11215,1.07,0.2142857142857143
11216,0.9,0.2857142857142857
