SA2_code,y.stomach.male,sd.stomach.male,y.stomach.female,sd.stomach.female,y.stomach.persons,sd.stomach.persons
11001,1.1,0.17346938775510207,1.01,0.09948979591836735,1.11,0.1785714285714286
11002,1.02,0.06632653061224487,1,0.03826530612244899,1.01,0.06887755102040814
11003,1.03,0.18622448979591838,1.01,0.09948979591836735,1.15,0.21683673469387754
11004,1.03,0.06632653061224487,1,0.040816326530612256,1.03,0.07908163265306122
11005,0.98,0.14285714285714288,0.99,0.09948979591836732,0.97,0.17346938775510207
11006,1.03,0.08163265306122448,1,0.05102040816326532,1.04,0.09948979591836735
11007,1.02,0.09183673469387756,1,0.05102040816326532,1,0.10204081632653061
11008,0.99,0.10459183673469385,1,0.061224489795918394,0.96,0.125
11009,1,0.09948979591836735,0.99,0.05612244897959186,0.94,0.10969387755102039
11010,1.01,0.09693877551020408,1,0.05357142857142859,0.96,0.10714285714285712
11011,1.01,0.06887755102040814,1,0.03826530612244899,0.98,0.07142857142857141
11012,1,0.10969387755102042,1,0.058673469387755126,0.95,0.11224489795918366
11013,1.02,0.10969387755102042,1,0.061224489795918394,0.98,0.10459183673469385
11014,1.04,0.18877551020408162,1,0.10714285714285715,0.99,0.20663265306122447
11015,1.02,0.08673469387755102,1,0.04591836734693879,0.99,0.08928571428571429
11016,1.03,0.11479591836734696,0.99,0.06377551020408166,0.99,0.12755102040816327
11017,1.04,0.20153061224489796,1,0.09183673469387756,1.09,0.2142857142857143
11018,1.06,0.1785714285714286,1,0.08673469387755102,1.09,0.17857142857142858
11019,1.05,0.14030612244897964,0.99,0.10714285714285712,1.04,0.18112244897959184
11020,1.01,0.08673469387755102,0.99,0.061224489795918394,0.97,0.10459183673469385
11021,1.02,0.17091836734693877,1,0.08163265306122448,0.98,0.1326530612244898
11022,1.01,0.09438775510204081,0.99,0.05612244897959186,0.98,0.10459183673469385
11023,1,0.13520408163265307,0.99,0.09183673469387756,0.99,0.20408163265306123
11024,1.02,0.09438775510204081,1,0.058673469387755126,1,0.09948979591836735
11025,1.01,0.11989795918367346,0.99,0.09438775510204078,0.98,0.15306122448979595
11026,0.97,0.1403061224489796,1,0.09183673469387756,0.9,0.14795918367346939
11027,0.99,0.10714285714285712,0.99,0.0688775510204082,0.94,0.12499999999999997
11028,1.06,0.1556122448979592,1,0.08163265306122448,1.08,0.14795918367346939
11029,1.07,0.1301020408163265,1.01,0.07397959183673468,1.08,0.1352040816326531
11030,1.05,0.08673469387755102,1.01,0.04591836734693882,1.09,0.08928571428571429
11031,1.06,0.10969387755102042,1.01,0.06122448979591834,1.13,0.11224489795918369
11032,1.06,0.10969387755102042,1.01,0.06122448979591834,1.11,0.11479591836734696
11033,1.06,0.13265306122448978,1.01,0.07397959183673468,1.1,0.13265306122448978
11034,1.07,0.12755102040816324,1.01,0.07142857142857141,1.13,0.13520408163265304
11035,1.05,0.11734693877551022,1.01,0.07142857142857141,1.1,0.13010204081632656
11036,1.06,0.11224489795918369,1.01,0.06122448979591834,1.12,0.11224489795918369
11037,1.07,0.14540816326530612,1.02,0.08418367346938775,1.12,0.14795918367346939
11038,1.05,0.16581632653061223,1.01,0.09183673469387756,1.13,0.163265306122449
11039,1.05,0.1377551020408163,1.01,0.07653061224489795,1.13,0.14795918367346939
11040,1.07,0.14285714285714285,1.01,0.07397959183673468,1.11,0.12244897959183676
11041,1.04,0.1275510204081633,1.01,0.07142857142857141,1.1,0.13775510204081637
11042,1.09,0.12755102040816324,1.02,0.07142857142857141,1.19,0.13775510204081634
11043,1.07,0.12499999999999997,1.02,0.07142857142857141,1.18,0.14795918367346939
11044,1.1,0.15051020408163265,1.01,0.07397959183673468,1.15,0.15051020408163265
11045,1.1,0.13265306122448978,1.01,0.05867346938775507,1.16,0.1173469387755102
11046,1.09,0.15306122448979592,1.01,0.08418367346938775,1.13,0.17857142857142858
11047,1.06,0.10969387755102042,1.01,0.0637755102040816,1.11,0.11224489795918369
11048,1.1,0.1785714285714286,1.01,0.07653061224489795,1.13,0.1377551020408163
11049,1.08,0.11734693877551017,1.01,0.053571428571428534,1.13,0.10204081632653064
11050,1.08,0.13520408163265304,1.01,0.06887755102040814,1.14,0.13520408163265304
11051,1.05,0.1301020408163265,1.01,0.0637755102040816,1.12,0.13520408163265304
11052,1.13,0.30357142857142855,1.01,0.12244897959183676,1.26,0.2602040816326531
11053,1.15,0.20153061224489793,0.99,0.09183673469387756,1.2,0.16581632653061226
11054,1.12,0.19897959183673466,1.01,0.11989795918367349,1.26,0.21173469387755103
11055,1.07,0.14795918367346939,1.01,0.06887755102040814,1.14,0.15051020408163265
11056,1.07,0.14795918367346939,1.02,0.07397959183673468,1.11,0.1301020408163265
11057,1.09,0.1556122448979592,1.01,0.06887755102040814,1.15,0.15051020408163265
11058,1.03,0.15561224489795916,1.01,0.08418367346938775,1.14,0.18877551020408168
11059,1.02,0.1326530612244898,1.01,0.08418367346938775,1.05,0.16581632653061223
11060,1.03,0.08163265306122448,1,0.04846938775510205,1.06,0.08673469387755102
11061,1.02,0.09438775510204081,1,0.058673469387755126,1.01,0.11479591836734696
11062,1.04,0.09183673469387756,1.01,0.05102040816326532,1.09,0.10714285714285715
11063,1.06,0.2142857142857143,1.01,0.10204081632653061,1.08,0.2066326530612245
11064,1.04,0.09438775510204081,1.01,0.05102040816326532,1.06,0.10204081632653061
11065,1.03,0.09183673469387756,1.01,0.0561224489795918,1.07,0.10204081632653061
11066,1.05,0.11989795918367349,1.01,0.05867346938775507,1.07,0.1352040816326531
