SA2_code,y.thyroid.male,sd.thyroid.male,y.thyroid.female,sd.thyroid.female,y.thyroid.persons,sd.thyroid.persons
11001,1,0.10204081632653061,0.94,0.2193877551020408,1,0.09693877551020408
11002,1,0.03826530612244899,0.99,0.13010204081632654,1,0.03571428571428572
11003,1,0.09693877551020408,1.04,0.30612244897959184,1.01,0.08673469387755102
11004,1,0.040816326530612256,1.02,0.14540816326530615,1,0.03316326530612248
11005,1,0.09183673469387756,0.98,0.27040816326530615,1,0.09183673469387756
11006,1,0.04846938775510205,0.97,0.16581632653061226,1,0.04591836734693879
11007,1,0.05102040816326532,1,0.17857142857142858,1,0.04591836734693879
11008,1,0.06887755102040814,1.03,0.2193877551020408,1,0.058673469387755126
11009,1,0.058673469387755126,1.01,0.1913265306122449,1,0.05357142857142859
11010,1,0.05612244897959186,0.98,0.18367346938775514,1,0.05102040816326532
11011,1,0.043367346938775524,1,0.1326530612244898,1,0.03571428571428572
11012,1,0.06377551020408166,1.01,0.18877551020408162,1,0.05357142857142859
11013,1,0.05612244897959186,0.96,0.17602040816326534,1,0.05102040816326532
11014,1,0.09948979591836735,1,0.3061224489795919,1,0.09693877551020408
11015,1,0.043367346938775524,1,0.16581632653061223,1,0.040816326530612256
11016,1,0.058673469387755126,0.97,0.18622448979591838,1,0.05612244897959186
11017,1,0.08418367346938775,0.97,0.25255102040816324,1,0.07908163265306122
11018,1,0.07142857142857141,0.99,0.2525510204081633,1,0.07397959183673468
11019,1,0.09438775510204081,1,0.19897959183673466,1,0.07653061224489795
11020,1,0.061224489795918394,0.97,0.16326530612244902,1,0.05102040816326532
11021,1,0.07653061224489795,1.04,0.2806122448979592,1,0.07397959183673468
11022,1,0.05612244897959186,0.99,0.18622448979591838,1,0.04846938775510205
11023,1,0.09183673469387756,0.99,0.25510204081632654,1,0.08163265306122448
11024,1,0.05102040816326532,0.98,0.1556122448979592,1,0.04846938775510205
11025,1,0.09183673469387751,0.97,0.1964285714285714,1,0.07142857142857141
11026,1,0.07397959183673468,0.95,0.3010204081632653,1,0.07397959183673468
11027,1,0.06887755102040814,1.03,0.2142857142857143,1,0.05612244897959186
11028,1,0.06632653061224487,1,0.3112244897959183,1,0.06632653061224487
11029,1,0.06632653061224487,1.02,0.19642857142857142,1,0.05867346938775507
11030,1,0.040816326530612256,0.98,0.125,1,0.03826530612244899
11031,1,0.05102040816326532,1.01,0.1760204081632653,1,0.05102040816326532
11032,1,0.05612244897959186,0.97,0.1734693877551021,1,0.05357142857142859
11033,1,0.06632653061224487,0.96,0.18112244897959187,1,0.06122448979591834
11034,1,0.0637755102040816,1.01,0.20153061224489796,1,0.05357142857142859
11035,1,0.06632653061224487,1.01,0.22193877551020408,1,0.058673469387755126
11036,1,0.04846938775510205,1,0.18877551020408162,1,0.05102040816326532
11037,1,0.07142857142857141,0.96,0.18112244897959187,1,0.06887755102040814
11038,1,0.07653061224489795,1.02,0.2678571428571428,1,0.07397959183673468
11039,1,0.06632653061224487,1.03,0.25510204081632654,1,0.061224489795918394
11040,1,0.07653061224489795,1.04,0.21173469387755103,1,0.06122448979591834
11041,1,0.07142857142857141,0.99,0.298469387755102,1,0.061224489795918394
11042,1,0.0637755102040816,0.98,0.18112244897959182,1,0.0561224489795918
11043,1,0.06122448979591834,0.99,0.21938775510204084,1,0.0637755102040816
11044,1,0.08418367346938775,1.02,0.2423469387755102,1,0.06632653061224487
11045,1,0.06632653061224493,1.01,0.24999999999999997,1,0.05612244897959186
11046,1,0.08673469387755102,1.04,0.2142857142857143,1,0.07142857142857141
11047,1,0.05612244897959186,0.99,0.24999999999999997,1,0.05102040816326532
11048,1,0.07142857142857141,1.01,0.2448979591836735,0.99,0.06632653061224487
11049,1,0.05357142857142859,1,0.2066326530612245,1,0.04591836734693879
11050,1,0.06887755102040814,1.01,0.22448979591836735,1,0.06632653061224487
11051,1,0.05357142857142859,1.01,0.17857142857142858,1,0.04846938775510205
11052,1,0.10714285714285712,1.01,0.3214285714285715,0.99,0.10459183673469385
11053,1,0.08928571428571429,0.94,0.20408163265306126,1,0.08928571428571429
11054,1,0.09438775510204078,0.99,0.2448979591836735,1,0.08673469387755102
11055,1,0.06377551020408166,0.97,0.23979591836734696,1,0.05612244897959186
11056,1,0.06632653061224487,1,0.2474489795918367,0.99,0.05612244897959186
11057,1,0.0637755102040816,1.04,0.23979591836734696,1,0.061224489795918394
11058,1,0.09693877551020405,1.03,0.25510204081632654,1,0.07397959183673468
11059,1,0.08673469387755102,1.08,0.30612244897959184,1,0.07397959183673468
11060,1,0.04591836734693879,1.02,0.16326530612244897,1,0.040816326530612256
11061,1,0.058673469387755126,1,0.18877551020408162,1,0.04846938775510205
11062,1,0.05102040816326532,1,0.16326530612244902,1,0.04591836734693879
11063,1,0.10459183673469385,0.99,0.28826530612244894,1,0.09183673469387756
11064,1,0.04846938775510205,1.01,0.1683673469387755,1,0.04591836734693879
11065,1,0.05612244897959186,1.02,0.19642857142857142,1,0.04591836734693879
11066,1,0.06377551020408166,0.99,0.2372448979591837,1,0.05612244897959186
11067,1,0.07397959183673468,1.01,0.24744897959183676,1,0.06887755102040814
11068,1,0.058673469387755126,1.01,0.19387755102040816,1,0.04591836734693879
11069,1,0.05102040816326532,0.97,0.17857142857142858,1,0.043367346938775524
11070,1,0.11479591836734693,1.07,0.3010204081632653,1.02,0.09693877551020408
11071,1,0.06377551020408166,1,0.16836734693877556,1,0.05612244897959186
11072,1,0.10204081632653061,0.97,0.29336734693877553,0.99,0.08928571428571426
11073,1,0.061224489795918394,1.01,0.20153061224489796,1,0.05357142857142859
11074,1,0.04846938775510205,1.01,0.15816326530612249,1,0.040816326530612256
11076,1,0.06632653061224487,1.01,0.25,1,0.06122448979591834
11077,1,0.09948979591836735,1,0.2372448979591837,1.01,0.07142857142857141
11078,1,0.08928571428571429,0.99,0.3137755102040816,1,0.07908163265306122
11079,1,0.04846938775510205,1.02,0.15561224489795922,1,0.040816326530612256
11080,1,0.09438775510204081,0.99,0.2602040816326531,1,0.09438775510204081
11081,1,0.04591836734693879,0.97,0.16326530612244902,1,0.04591836734693879
11082,1,0.07908163265306122,0.97,0.20153061224489793,1,0.05867346938775507
11083,1,0.058673469387755126,0.99,0.1913265306122449,1,0.05357142857142859
11084,1,0.08928571428571426,0.98,0.23724489795918366,1,0.06887755102040814
11085,1,0.08673469387755102,0.96,0.19132653061224486,1,0.07142857142857141
11086,1,0.06377551020408166,0.96,0.1709183673469388,1,0.05612244897959186
11087,1,0.06887755102040814,0.98,0.19132653061224486,1,0.05867346938775507
11088,1,0.08673469387755099,0.92,0.23214285714285715,1,0.06887755102040814
11089,1,0.07653061224489795,0.98,0.1964285714285714,1,0.06632653061224487
11090,1,0.07908163265306122,1,0.18112244897959184,1,0.07142857142857141
11091,1,0.08673469387755102,0.91,0.1760204081632653,1,0.06887755102040814
11092,1,0.05357142857142859,1.05,0.20153061224489796,1,0.04846938775510205
11093,1,0.058673469387755126,1.01,0.1989795918367347,1,0.05102040816326532
11094,1,0.05357142857142859,1,0.2066326530612245,1,0.04846938775510205
11095,1,0.05612244897959186,1.04,0.1989795918367347,1,0.04846938775510205
11096,1,0.05357142857142859,1.01,0.20153061224489796,1,0.04591836734693879
11097,1,0.10714285714285715,1.03,0.2551020408163265,1,0.09183673469387756
11098,1,0.05102040816326532,1.01,0.1607142857142857,1,0.040816326530612256
11099,1,0.04591836734693879,1.01,0.15306122448979595,1,0.043367346938775524
11100,1,0.06377551020408166,1.02,0.25255102040816324,1,0.06887755102040814
11101,1,0.07653061224489795,1.02,0.25255102040816324,1,0.06632653061224487
11102,1,0.07397959183673468,1.06,0.2780612244897959,1,0.07142857142857141
11103,1,0.04846938775510205,1.03,0.15816326530612243,1,0.04591836734693879
11104,1,0.06122448979591834,0.99,0.22193877551020405,1,0.05612244897959186
11105,1,0.05612244897959186,1.02,0.20408163265306123,1,0.05102040816326532
11106,1,0.06377551020408166,1.03,0.2653061224489796,1,0.0637755102040816
11107,1,0.06122448979591834,1.03,0.2219387755102041,1,0.05612244897959186
11108,1,0.07653061224489795,0.98,0.2602040816326531,1,0.0637755102040816
11109,1,0.040816326530612256,1.01,0.13010204081632654,1,0.03826530612244899
11110,1,0.04846938775510205,1.01,0.15561224489795922,1,0.04591836734693879
11111,1,0.06122448979591834,1.03,0.18622448979591838,1.01,0.0561224489795918
11112,1,0.08673469387755102,1.04,0.2908163265306123,1.01,0.07908163265306122
11113,1,0.04846938775510205,1.01,0.16581632653061223,1,0.04591836734693879
11114,1,0.06632653061224487,1.02,0.1836734693877551,1,0.053571428571428534
11115,1,0.0637755102040816,1,0.18622448979591832,1,0.06122448979591834
11116,1,0.06122448979591834,1.01,0.18877551020408162,1,0.05867346938775507
11117,1,0.05867346938775507,1.02,0.18112244897959184,1.01,0.053571428571428534
11118,1,0.058673469387755126,1.06,0.2219387755102041,1,0.05612244897959186
11119,1,0.07653061224489795,1.02,0.2933673469387755,1.01,0.07908163265306122
11120,1,0.07653061224489795,1.02,0.364795918367347,1,0.07908163265306122
11121,1,0.08673469387755102,1.07,0.22448979591836732,1.01,0.09693877551020408
11122,1,0.0637755102040816,1.09,0.2780612244897959,1,0.05867346938775507
11123,1,0.05612244897959186,1.01,0.1760204081632653,1,0.05357142857142859
11124,1,0.08163265306122448,0.95,0.201530612244898,1.01,0.07142857142857141
11125,1,0.05102040816326532,1.01,0.1913265306122449,1,0.05102040816326532
11126,1,0.08418367346938775,1,0.2602040816326531,1,0.08928571428571429
11127,1,0.0637755102040816,0.98,0.17857142857142858,1,0.05867346938775507
11128,1,0.10969387755102039,1.01,0.2576530612244898,1,0.09948979591836735
11129,1,0.043367346938775524,1.01,0.15561224489795922,1,0.040816326530612256
